Data,Model,Accuracy,Kappa,Sensitivity_macro,Precision_macro
MIR,PLSDA,0.9747899159663865,0.9602847925241962,0.9622927031509121,0.9653594771241829
SF2_OPA_PCA20,PLSDA,0.9747899159663865,0.9603201067022341,0.9822651448639157,0.973440285204991
SF1_LowLevel,PLSDA,0.9495798319327731,0.9226016260162602,0.9725746268656718,0.909250398724083
Vis-NIR,PLSDA,0.9243697478991597,0.881,0.9372805092186128,0.9378787878787879
SF2_OPA_PCA20,RF,0.9663865546218487,0.9454316175627651,0.9252777777777779,0.9887323943661972
MIR,RF,0.9411764705882353,0.9048326288129784,0.8608333333333335,0.946984126984127
SF1_LowLevel,RF,0.9411764705882353,0.9059925516307414,0.8586111111111112,0.9105091159270726
Vis-NIR,RF,0.6638655462184874,0.45568896512292734,0.5862584138132865,0.6051227332917473
