wavelength_nm_10grid,importance,is_top70pct
350.0,0.0002903029949462536,False
360.0,0.0017765633706800508,False
370.0,0.0009008757496394366,False
380.0,0.0021760546413678774,False
390.0,0.0016981156182003083,False
400.0,0.001621484331005251,False
410.0,0.002724495624771992,False
420.0,0.0019479332043452003,False
430.0,0.0012514094610170407,False
440.0,0.002038746552276184,False
450.0,0.0019438790872527594,False
460.0,0.00165278518141872,False
470.0,0.003270508375125143,False
480.0,0.0028690668029396093,False
490.0,0.0028717351048368808,False
500.0,0.0014636480929943504,False
510.0,0.0027334523772853253,False
520.0,0.0016179252824006928,False
530.0,0.0022320463570519454,False
540.0,0.0029267983402241674,False
550.0,0.0033176761947826716,False
560.0,0.003131885734914755,False
570.0,0.0033678704890037193,False
580.0,0.002806190002007738,False
590.0,0.0037314464668429365,False
600.0,0.003523856892279497,False
610.0,0.005019210067759661,False
620.0,0.004394449173828479,False
630.0,0.005430197797965529,False
640.0,0.004718142282409608,False
650.0,0.0034158469472872085,False
660.0,0.004138337101983583,False
670.0,0.004355192191568432,False
680.0,0.00480766509290822,False
690.0,0.0030498466228496813,False
700.0,0.0048291772142288105,False
710.0,0.006992709694450641,True
720.0,0.0032754841681581536,False
730.0,0.0036081581166485166,False
740.0,0.004881449381128198,False
750.0,0.004276612582891745,False
760.0,0.004499748902031831,False
770.0,0.0033498521279512485,False
780.0,0.004434711424374024,False
790.0,0.002916401750638561,False
800.0,0.004509972838766396,False
810.0,0.004526447156099543,False
820.0,0.002987521082369261,False
830.0,0.0043034718962049485,False
840.0,0.004348472883888265,False
850.0,0.007279231949298594,True
860.0,0.004148796469611214,False
870.0,0.0055229300320636405,False
880.0,0.0038356283332369144,False
890.0,0.005494424345107056,False
900.0,0.005869158779578439,False
910.0,0.005737102988372459,False
920.0,0.005560531910084725,False
930.0,0.0056868886257296055,False
940.0,0.006069438803316411,True
950.0,0.005352563867322065,False
960.0,0.003215436348416628,False
970.0,0.005495655369195114,False
980.0,0.005435784494173159,False
990.0,0.004650439255736389,False
1000.0,0.002979290284910409,False
1010.0,0.006023637196906146,False
1020.0,0.003728864966373706,False
1030.0,0.007216567232390514,True
1040.0,0.004868096483191949,False
1050.0,0.005425885594455067,False
1060.0,0.004561614366662765,False
1070.0,0.0072785817638332745,True
1080.0,0.005570280872603794,False
1090.0,0.004879507806308999,False
1100.0,0.005291588689629424,False
1110.0,0.007439198380356643,True
1120.0,0.0037607863982122066,False
1130.0,0.006765734308719666,True
1140.0,0.005262210417515949,False
1150.0,0.004329321397494297,False
1160.0,0.008164595989602704,True
1170.0,0.0046029796784195776,False
1180.0,0.00521407299206769,False
1190.0,0.0051097874425305185,False
1200.0,0.005347377650420874,False
1210.0,0.004941056270895361,False
1220.0,0.00696106993996094,True
1230.0,0.005950500607692924,False
1240.0,0.0063152962837167235,True
1250.0,0.006327507395448768,True
1260.0,0.006492763297913893,True
1270.0,0.00618848610139867,True
1280.0,0.0053037466049948145,False
1290.0,0.0038769061892444186,False
1300.0,0.005489641994664746,False
1310.0,0.008631893733148911,True
1320.0,0.004406524385401745,False
1330.0,0.006329831753634238,True
1340.0,0.00715396136090611,True
1350.0,0.00426826186098297,False
1360.0,0.006943180007968443,True
1370.0,0.0051283498533129775,False
1380.0,0.0036044009612477704,False
1390.0,0.005090550926881821,False
1400.0,0.00490988737364034,False
1410.0,0.006486821302585593,True
1420.0,0.004065673770880072,False
1430.0,0.0057824680085205565,False
1440.0,0.005385682859942883,False
1450.0,0.005900691459849878,False
1460.0,0.0061822677013091045,True
1470.0,0.004937754796955164,False
1480.0,0.005888401190404212,False
1490.0,0.004866229375180653,False
1500.0,0.00597158725846006,False
1510.0,0.005859870067841244,False
1520.0,0.005910461504434589,False
1530.0,0.005753189725781183,False
1540.0,0.0042483478952426695,False
1550.0,0.004774527436601176,False
1560.0,0.0072653996041193904,True
1570.0,0.0060239482557301275,False
1580.0,0.006404404682951233,True
1590.0,0.00452902467700933,False
1600.0,0.005057012278628633,False
1610.0,0.00323351254916953,False
1620.0,0.007086458906911197,True
1630.0,0.006766549279553481,True
1640.0,0.004559731527183027,False
1650.0,0.006129110401013308,True
1660.0,0.004894708673831704,False
