cluster,Clay_gkg_count,Clay_gkg_mean,Clay_gkg_std,Clay_gkg_median,Clay_gkg_min,Clay_gkg_max,Sand_gkg_count,Sand_gkg_mean,Sand_gkg_std,Sand_gkg_median,Sand_gkg_min,Sand_gkg_max,OM_gkg_count,OM_gkg_mean,OM_gkg_std,OM_gkg_median,OM_gkg_min,OM_gkg_max,CEC_Ph7_mmolkg_count,CEC_Ph7_mmolkg_mean,CEC_Ph7_mmolkg_std,CEC_Ph7_mmolkg_median,CEC_Ph7_mmolkg_min,CEC_Ph7_mmolkg_max,Ca_mmolkg_count,Ca_mmolkg_mean,Ca_mmolkg_std,Ca_mmolkg_median,Ca_mmolkg_min,Ca_mmolkg_max,Mg_mmolkg_count,Mg_mmolkg_mean,Mg_mmolkg_std,Mg_mmolkg_median,Mg_mmolkg_min,Mg_mmolkg_max,K_mmolkg_count,K_mmolkg_mean,K_mmolkg_std,K_mmolkg_median,K_mmolkg_min,K_mmolkg_max,pH_H2O_count,pH_H2O_mean,pH_H2O_std,pH_H2O_median,pH_H2O_min,pH_H2O_max,V_pct_count,V_pct_mean,V_pct_std,V_pct_median,V_pct_min,V_pct_max
1,17504,116.24011060337826,84.09907232771337,104.36500000000001,-25.96081442,588.0,17145,539.0281662121819,247.05835939393333,570.0,0.0,996.0,1031,15.523487777328807,11.256373769724831,14.0,0.0,79.8,1825,67.70140156336385,68.74680743346667,47.0,1.0,680.0,1253,35.73090183559457,51.79504291601339,15.0,1.0,431.0,1144,10.225227272727272,11.997176109150503,6.0,1.0,78.0,14385,2.9978472442649284,2.596493908382927,2.207161125,0.0,27.34526854,16529,5.634234920442858,1.1817680524195575,5.47,1.67,10.14,807,65.57806571937529,50.16378992010684,57.93103448275862,1.3274336283185841,528.5714285714286
2,14,595.4989285714286,139.64122155364623,658.0,329.276,737.0,14,256.7447142857143,84.12735325265322,224.5,124.0,426.212,80,145.277329961875,43.469300373892125,153.00238225,81.07505337,357.76315,0,,,,,,0,,,,,,0,,,,,,0,,,,,,13,7.011538461538462,0.20317669460538337,7.05,6.7,7.32,0,,,,,
3,11116,345.9155427608582,146.81004373099978,318.0,0.0,1000.0,10810,208.35666069141539,138.23798850451496,189.0,0.0,780.0,433,20.242240929815242,11.185463935179905,19.088679,0.0,66.5,1466,157.53540927694408,117.07057657000358,140.5,2.0,766.0,1270,105.19518110236221,91.59360470458853,85.0,1.0,437.38,1277,24.344166014095535,20.363541800687386,20.47,1.0,114.0,8726,8.059417940210063,7.942538193898851,6.141943734,0.0,187.7749361,11016,7.256815087145969,0.9936284144004712,7.56,3.0,10.93,969,78.93793910779642,49.70708244709897,78.01418439716312,2.236842105263158,432.6530612244898
4,615,412.8943089430894,204.74262913668028,394.0,3.0,964.0,602,188.6328903654485,181.01006980919797,136.0,1.0,971.0,0,,,,,,613,357.1532980293638,240.31786112312653,340.0,2.0,2703.971692,709,410.12081805359657,222.7875461306394,374.0,12.0,1682.0,709,90.20957686882933,71.1870461208634,75.0,3.0,680.0,701,8.871312410841655,10.607541683200282,4.0,1.0,71.0,671,7.679970193740686,1.0921196693790431,7.9,4.3,10.5,602,225.35133338971718,291.6163097438204,118.91390452366062,1.8143009605122733,3633.3333333333335
