,mean,std,cv,skewness,kurtosis
Unnamed: 0,24973.0,14418.023934182751,57.73444894158792,0.0,-1.2000000009621157
ID_Unico,113673.51272399639,36837.33799037663,32.40626343607335,-0.06886161575859445,0.8682180568835709
X,-73.7452921370547,61.53190042406146,-83.43841164762789,1.7342993990359674,2.556021737983511
Y,34.27057538077065,19.0869543062106,55.69487554305949,-1.7155101767652066,3.1268110409226066
Upper_depth_cm,43.86938546557527,50.50361538403707,115.1226871497157,,
Lower_depth_cm,67.98493443883382,60.570110547935585,89.09343084302101,,
Sand_gkg,388.8966392955534,279.3811135962081,71.83942604962554,,
Silt_gkg,359.3123099187112,197.68721756674958,55.018214547526426,,
Clay_gkg,249.6003947438394,178.7867491548321,71.62919327043448,,
Density_kgdm3,1.3211630006729895,0.3218606476832576,24.361918061534002,,
C_gkg,38.138601092493005,89.71532078080328,235.23495411703067,,
OM_gkg,,,,,
P_mgkg,23.122785080874422,200.23348047195068,865.9574518018163,,
pH_H2O,6.415539711759373,1.34544023889789,20.97158305219066,,
Ca_mmolkg,219.06423316474928,332.07652496041,151.5886551460314,,
Mg_mmolkg,47.61549344666489,66.15619528268167,138.93838012365575,,
K_mmolkg,5.898302142486245,8.542384348002866,144.82785285736634,,
CEC_Ph7_mmolkg,189.69815111021234,203.794490778997,107.43093150159109,,
CEC_Efe_mmolkg,213.57203389830508,229.61513794374395,107.51180000143556,,
MacroN_g_kg,2.1898582847977694,5.435568859110536,248.2155533462981,,
4000,0.5391648919201723,0.2039073468044437,37.819106892930606,2.4073503538792482,59.75731782474106
3996,0.5384229799170087,0.20373186677348584,37.83862769098165,2.412007813710646,59.786785381922506
3992,0.5375996177674243,0.2034384507080697,37.84200062360926,2.413810840561716,59.89781878826305
3988,0.5367171538102113,0.20325830922515312,37.87065641226502,2.4149729811705423,59.85642907831756
3984,0.536027647398899,0.2031417243560477,37.897620643599836,2.4093785449654344,59.742978946019576
3980,0.5351072827637,0.2027857507455998,37.89627935883442,2.4150904018232007,59.93008127219488
3976,0.5343101156416258,0.20253129737672074,37.90519614877799,2.4167821806834535,59.999236725197015
3972,0.5335749978946641,0.2023261007249079,37.91896200594657,2.4223589860324966,60.15135496234973
3968,0.5327194393503253,0.20208998962735322,37.935538803279044,2.424875967375381,60.228127028426414
3964,0.5320757730791671,0.20191241162671708,37.94805586772595,2.4255011837356393,60.21481011570339
3960,0.5315995893175492,0.20172314865809893,37.94644554128884,2.424073403148628,60.27098169148624
3956,0.5308818030154571,0.20155014703491403,37.96516397625438,2.428190085569546,60.30420292677272
3952,0.5305492934459907,0.2013834913274617,37.95754585204481,2.4237638403675246,60.23830285279711
3948,0.5304053248735009,0.20119733231953277,37.9327512157834,2.417353076886868,60.327764781538654
3944,0.5298492783998197,0.20105430105013175,37.94556475708134,2.416475773106082,60.2353769740249
3940,0.5288732856079087,0.20109024579768756,38.02238669827049,2.428869396383408,60.30282926657073
3936,0.5281497926459705,0.2010254981553216,38.062212833258286,2.4211075827466746,59.969357622099906
3932,0.528925488616358,0.20104091573827662,38.009307561295515,2.396109308803683,59.61478320118678
3928,0.5280044208297928,0.20089489383264064,38.047956779778744,2.411457528776367,59.874760305193064
3924,0.5278546385029332,0.20085030947391633,38.05030681241238,2.4019878146205857,59.546620233110545
3920,0.5278204612408249,0.20092873473815265,38.067628955838515,2.3916472972772627,59.09532752604147
3916,0.5273224647459606,0.20093153688465912,38.104110922234,2.396905973195283,59.25398914463026
3912,0.5253853048164782,0.2006834475008143,38.197384978423564,2.4190343665025043,59.469203664639906
3908,0.525336120342737,0.20055308013296422,38.17614520816129,2.397824644800482,58.94331424578357
3904,0.5286675551763339,0.2009750043617244,38.015384601139445,2.3244127039587443,57.64128552828533
3900,0.5286302246205226,0.20126666511895766,38.07324207832365,2.3308482082064246,57.89138260872958
3896,0.5236310196406248,0.20031490046629738,38.254972099203805,2.391939954887491,58.95836696623191
3892,0.5239595934637701,0.20043673146715535,38.25423448058592,2.3575336642173528,58.06228881424851
3888,0.5231822021423366,0.20044958333252463,38.31353255361513,2.355604550651076,57.87922467562484
3884,0.5238374886893984,0.20062718090728615,38.29950800375897,2.334022359449877,57.560881719808556
3880,0.5222133813212534,0.20008172858891038,38.31417113109647,2.3558576585442275,58.11467149196318
3876,0.5199886150188807,0.19962037870720567,38.38937487120895,2.376248494008209,58.34758370923213
3872,0.5214734843156673,0.19975064107834228,38.30504274641619,2.3309074486933294,57.44198225981666
3868,0.5211042159874462,0.19980755041122497,38.34310763205157,2.331618410886417,57.57772395511718
3864,0.519451840499109,0.19936230178831202,38.37936190518782,2.340275119420906,57.709256571718896
3860,0.5164497800886777,0.198858066511783,38.50482160678582,2.3762191053332096,58.39243915699366
3856,0.5189332890933626,0.19938824070066108,38.422711529841486,2.2812968194889436,55.73264339675653
3852,0.523230634223626,0.20070435489071076,38.35867813598444,2.244973348749055,55.47480325444934
3848,0.5132814851038743,0.19831437074547914,38.63657203714365,2.385552278535275,58.55535027244962
3844,0.5124367486586846,0.19789404285552495,38.61823793346541,2.3559834960841144,57.6965074471524
3840,0.5151514388239664,0.19822912898847286,38.47977779912796,2.295099935122689,56.440080583088395
3836,0.5141249106507159,0.19854562016682625,38.61816769693803,2.306373442380938,56.69609494022486
3832,0.5091976613549504,0.19722328890392446,38.73216706830955,2.366978095220594,57.90546243974591
3828,0.5064137823989989,0.196487564445139,38.79980586514294,2.3855090629488838,58.27167051720323
3824,0.5060205427197116,0.1962897005759942,38.79085610259907,2.355939604674906,57.43700707072389
3820,0.5082433047625188,0.19691722695702732,38.74467703003754,2.2999268094176557,56.3864830821266
3816,0.5039857397025128,0.1962944654061264,38.94841658059471,2.348224946207567,57.24684833956375
3812,0.4983621964592652,0.19508862246906397,39.145951248934665,2.4073295779857937,58.312566493308175
3808,0.4979722843686255,0.19494496779569812,39.147754586958,2.363251210892309,57.07201033761506
3804,0.4974936599059366,0.19477123071137456,39.15049505318336,2.339440799688374,56.69327504916473
3800,0.4960227383930123,0.19455911112557037,39.22382908410459,2.3318025541027416,56.704340014009645
3796,0.4905182192403444,0.1936757933971804,39.48391431762151,2.380150983117087,57.45908536826134
3792,0.4859827396679748,0.1931162254505849,39.73726013037472,2.4042311149453646,57.58918711437775
3788,0.48225602078512364,0.19223785536734161,39.86219913944756,2.3969218753669805,57.18831456394872
3784,0.47962209542218437,0.19168487975001922,39.96581508224507,2.388153372190876,56.97787126914093
3780,0.4772957292266693,0.19155076979849558,40.13251283619332,2.3640164958826784,56.18950443666004
3776,0.47238466754916403,0.19069947040124025,40.36953006765253,2.389010326952859,56.512155309440125
3772,0.4687860387337471,0.18992522510080928,40.51426651139662,2.3675985649487594,55.66433789931114
3768,0.46574598375909504,0.18948869651831887,40.68498776713682,2.3417217060514273,55.047984261833044
3764,0.46007468404162577,0.18846929537310428,40.96493502260435,2.3510813463618283,54.99378794774745
3760,0.4547022641411552,0.1874067103058628,41.21525778188897,2.3227158382553292,53.91893341166674
3756,0.4491761539399139,0.18645134366019267,41.50962646274722,2.2987594781237966,53.10658750310037
3752,0.4475594064430272,0.18651748303766863,41.67435213126543,2.1885541040296315,50.04250411756126
3748,0.4398792652331965,0.18548983789584234,42.168352217626634,2.17831703301061,49.605671540454026
3744,0.4311409691451396,0.18430168856083337,42.74743106095072,2.147758728803443,48.07755558860669
3740,0.4177790533002303,0.18174183836860264,43.50190296352574,2.180772119234683,48.32764695599541
