wl_nm,reflectance_mean
350,0.09075554036565954
351,0.09009322075682988
352,0.08947387543661642
353,0.08889672344870707
354,0.08836098383678974
355,0.08786587564455234
356,0.0874106179156828
357,0.08699442969386903
358,0.08661653002279893
359,0.08627613794616043
360,0.08597247250764029
361,0.08569561035478417
362,0.08545664403327882
363,0.0852782889664223
364,0.08513244726056673
365,0.08500462668544038
366,0.0849042142514143
367,0.08482013576144784
368,0.08475005024651205
369,0.08471051321262213
370,0.08471486419043739
371,0.08474621045753988
372,0.08479526061333781
373,0.08485687139250152
374,0.08494442632787327
375,0.08506150390866529
376,0.0851874673290338
377,0.0853394664823165
378,0.08552240873388002
379,0.08572635268711123
380,0.08594293093001756
381,0.08616914709716018
382,0.08640078369638075
383,0.08664388376550777
384,0.08688066461994712
385,0.08710862106788719
386,0.08734348106919629
387,0.0875725244674318
388,0.08779416274332344
389,0.088031105835273
390,0.08520027910868633
391,0.08432208567364072
392,0.08507613914701338
393,0.08716728552857134
394,0.09030847797222519
395,0.09423847785586525
396,0.09871006532491974
397,0.10350634769901178
398,0.10842102582648011
399,0.11326336608103443
400,0.1178541954080928
401,0.1220326564254873
402,0.12565519915012469
403,0.1285904936457175
404,0.13071430253187932
405,0.13192249285497903
406,0.1321139876264512
407,0.13119039050230294
408,0.12907095953840111
409,0.12568330996595115
410,0.12094830557263482
411,0.1197613362240807
412,0.11877378951238281
413,0.11797701560872452
414,0.11734842681329646
415,0.1168641314646333
416,0.11650678609967755
417,0.11625722235001863
418,0.11609819915476327
419,0.11601697822639956
420,0.11599957115621508
421,0.11603315511361918
422,0.11610873213003184
423,0.11621775132660268
424,0.11635356729235474
425,0.11651042742808132
426,0.11668160490284601
427,0.11686538571804858
428,0.11706200028708118
429,0.11726921132523721
430,0.11748640342935862
431,0.11771293598319157
432,0.1179493609982646
433,0.11819640001271475
434,0.11845324581477594
435,0.11872012192339629
436,0.11899677244039543
437,0.11928169077809227
438,0.11957388067683387
439,0.11987298137637832
440,0.120177143588071
441,0.12048441063985696
442,0.12079374764903367
443,0.12110244818513247
444,0.12140901083322231
445,0.12171208711729856
446,0.12200995878850412
447,0.12230279040772782
448,0.12258956141729807
449,0.12286947898551304
450,0.1231416359661087
451,0.12340586637665998
452,0.12366232378944501
453,0.12391105403626326
454,0.12415149144522455
455,0.12438453957896763
456,0.12461066965806199
457,0.12482995148197279
458,0.12504313689598698
459,0.12525079065808928
460,0.12545398384473608
461,0.12565307844369072
462,0.12584902833073638
463,0.12604269871270038
464,0.12623525782095735
465,0.12642770060371206
466,0.12662075604391224
