,mean,std,cv,skewness,kurtosis
Unnamed: 0,20069.0,11586.698213900283,57.734307707909124,0.0,-1.200000001489777
ID_Unico,150913.28863642027,89250.9367845742,59.14054195690959,-0.48466413675995956,-1.5238880819580463
X,21.9593724360482,55.04329239603045,250.65967871500808,,
Y,35.159447268080875,23.573483410443412,67.04736633287277,,
Upper_depth_cm,9.646017699115044,31.267898119075202,324.15343921610076,,
Lower_depth_cm,30.56485210387446,36.14540388101684,118.25806896816286,,
Sand_gkg,406.3954652543509,266.37486221142063,65.5457270037953,,
Silt_gkg,347.7579675383384,194.6991025038503,55.986956641729805,,
Clay_gkg,209.99456577425664,162.88233503504347,77.56502385406552,,
Density_kgdm3,1.1062741620727672,0.39283435981285175,35.5096750227646,,
C_gkg,42.6179250102624,85.86762189269272,201.48240880337508,,
OM_gkg,23.56981387175259,32.1047774919316,136.21141713981797,,
P_mgkg,30.869307831671605,49.74026142963307,161.13176784158424,,
pH_H2O,6.316686882284176,1.3759879894025158,21.783381304867607,,
Ca_mmolkg,145.15605198019801,189.4408105372362,130.50837905337866,,
Mg_mmolkg,34.10343450479233,48.25909930602783,141.50803286175267,,
K_mmolkg,5.02558808814984,6.065365802089363,120.6896724463209,,
CEC_Ph7_mmolkg,146.8844619736524,162.2567041838635,110.46553325222956,,
CEC_Efe_mmolkg,157.7988938635765,144.66439287679776,91.67643025550353,,
MacroN_g_kg,3.0396233215385324,3.985781769786924,131.12749009207775,,
350,0.09662667975211113,0.0492025759178265,50.92028003451242,,
351,0.09611856550674204,0.048817003794269356,50.78831913158878,,
352,0.09581504082075729,0.0486397399639711,50.76420105582612,,
353,0.09488734860555707,0.048130660523547815,50.72400191476005,,
354,0.0941096028368973,0.04764270540231171,50.62470137599237,,
355,0.09355518171272406,0.047444146273476734,50.71247300781422,,
356,0.09314941918074418,0.04742781300375469,50.91584405022136,,
357,0.09268893692035579,0.047163239567823645,50.88335365023043,,
358,0.09243034866152906,0.04682081013359382,50.65523479203466,,
359,0.09212905268067625,0.046593213171804204,50.57385462683366,,
360,0.09179988519955189,0.046449205296856824,50.59832612632022,,
361,0.09144012075407386,0.046383339174038994,50.72536955499648,,
362,0.09077635155849226,0.04597683608640621,50.64847319489457,,
363,0.09069694675963139,0.04588863391982433,50.59556639920878,,
364,0.09061232311538461,0.045844786142924636,50.59442752013592,,
365,0.09049387048086523,0.045797680379558066,50.60859938490741,,
366,0.09043170701625497,0.045809605273243556,50.656574762001725,,
367,0.0904925200264303,0.04584036533293364,50.65652422934511,,
368,0.09040245339965443,0.04575786138590716,50.61572962364102,,
369,0.09024345797555357,0.045786277153549895,50.7363948375661,,
370,0.09024001222078587,0.04587165650855377,50.832945807145734,,
371,0.09020364258057084,0.04574406675048972,50.711995039036964,,
372,0.09022857759311403,0.04571170498751152,50.662114162597746,,
373,0.09020765180814026,0.04570665918034133,50.668272883938215,,
374,0.09026726502054268,0.04575038184041691,50.68324805233127,,
375,0.09035501414591067,0.04583653500985475,50.72937616481934,,
376,0.09043284097414565,0.045937122626862364,50.796947361186604,,
377,0.09059204250351978,0.046006531265968036,50.784296274344996,,
378,0.09082389059452196,0.04610328165469912,50.76118337687665,,
379,0.09105430236471265,0.04627239217027062,50.81845774286345,,
380,0.09123934071144246,0.04645139963592966,50.91159062935241,,
381,0.0915332456173045,0.0465766651034611,50.8849705801929,,
382,0.09176674356924357,0.04664874110341391,50.83403778866209,,
383,0.09190354532311532,0.04677450172151023,50.89520927300466,,
384,0.09211087196166645,0.04695436202052742,50.97591741403588,,
385,0.09232251672481762,0.047067400057443184,50.981495876824155,,
386,0.09265508938179957,0.04724344798186694,50.98850834538946,,
387,0.0929365802513119,0.0474283394545045,51.03301555345856,,
388,0.09313496143056446,0.04755848660537475,51.0640535786675,,
389,0.09331603844310762,0.047701887044993146,51.11863709696137,,
390,0.09355842510392935,0.04785197274712195,51.14662062124881,,
