wl_nm,reflectance_mean
400,0.0693066702863751
404,0.06950333115393295
408,0.06977803509095463
412,0.07011556294647185
416,0.0705006955695163
420,0.07091821380911965
424,0.07135289851431363
428,0.07178953053412993
432,0.07221289071760023
436,0.07260775991375625
440,0.07295891897162872
444,0.07336889975620459
448,0.07348227232532496
452,0.0734659860009759
456,0.07339797725711221
460,0.07320616835781875
464,0.07292164295188948
468,0.07253411062216808
472,0.07195806585852436
476,0.0711113026010439
480,0.07009647988966211
484,0.06895647308377818
488,0.06780259010189083
492,0.06681989073807922
496,0.0659346470123697
500,0.06520684731506646
504,0.06470144028297059
508,0.0643286637733819
512,0.0640891308636217
516,0.06395079355658376
520,0.06384079010171757
524,0.06373168968057075
528,0.06354948466125945
532,0.06323696942448419
536,0.06277877109261594
540,0.06222513201338944
544,0.06154887697793783
548,0.060743131959774314
552,0.05981723089688495
556,0.05883123637011267
560,0.059206902003152914
564,0.05890484060693586
568,0.05803554492554522
572,0.05670413313687455
576,0.05496394847920813
580,0.05287980597801227
584,0.050522789400232915
588,0.04794022545786296
592,0.04517084571686473
596,0.04226465479428697
600,0.03928510666626924
604,0.03632597975461284
608,0.03348714656214077
612,0.03084765146288499
616,0.028526784384702027
620,0.026625918519040986
624,0.02523648050078894
628,0.024432068005079507
632,0.024365053098339307
636,0.02509302814212574
640,0.026692301105909897
644,0.027059280446819226
648,0.027527936092285786
652,0.028026116413312357
656,0.028533552410672902
660,0.028866725617899845
664,0.02883550705739631
668,0.028515613500087984
672,0.028037904386884846
676,0.027463671525736876
680,0.026903580016251438
684,0.02642969432717601
688,0.02609049905943122
692,0.02591571852240651
696,0.02592021814043841
700,0.026110863685425006
704,0.026479187981831034
708,0.027038134050988365
712,0.027822959625138536
716,0.02877611302587127
720,0.02989048136654865
724,0.031131097634423354
728,0.032416265395779874
732,0.03357911577377799
736,0.034463351739862126
740,0.035005293683272876
744,0.03542833966118566
748,0.03595452781630992
752,0.03640432212017273
756,0.03654946395039244
760,0.03661307183165102
764,0.0367789103030436
768,0.037085777003314835
772,0.0372458948483594
776,0.03697573803743139
780,0.036276839028773405
784,0.035222143645544886
788,0.03401223179047498
792,0.03273974674167233
796,0.03149948453567105
800,0.030376039750301616
804,0.029446768807279085
808,0.028784047545914515
812,0.02839435531355795
816,0.02844370968795584
820,0.029103978618564383
824,0.0303801549246124
828,0.032046267305861846
832,0.03387935835095167
836,0.03587226941295507
840,0.03816643287910934
844,0.04064012230057193
848,0.043001786866793436
852,0.04492418901460344
856,0.04638037576273249
860,0.04755610612926349
864,0.04853807641822849
868,0.04937388799906977
872,0.04998815191966589
876,0.05035295738683099
880,0.05047169836318434
884,0.05039251156964392
888,0.05017272624292425
892,0.049841296035098674
896,0.04952808748237834
900,0.04924459764845826
904,0.048993539173988465
908,0.04877009952314972
912,0.04857033019760305
916,0.04837947160437098
920,0.04821710307459958
924,0.04818741047140554
928,0.04832875626153654
932,0.04865590869603386
936,0.04914010343683469
940,0.049745196907099096
944,0.05042055897905441
948,0.051086641191352415
952,0.051703208243420465
956,0.05223675623546122
960,0.052696048646334016
964,0.053111210104990536
968,0.053518102347266706
972,0.053944901751621956
976,0.054422496358706204
980,0.054914081065068406
984,0.055383619807292145
988,0.05582416789144093
992,0.05626957844283019
996,0.056776148676743625
1000,0.05736201640105444
1004,0.05809331888540917
1008,0.05894817535856973
1012,0.059924946567620166
1016,0.0610016220590192
1020,0.062133042953588256
1024,0.06327653062840537
1028,0.06435846733952434
1032,0.06577123662357172
1036,0.06772029829986627
1040,0.07027369696948589
1044,0.07335901018339176
1048,0.0768491490787977
1052,0.08058631400572315
1056,0.08441727075129707
1060,0.08813030836709454
1064,0.09157071291638332
1068,0.09463942231894212
1072,0.09726526149315282
1076,0.09936006767710273
1080,0.10083404160196882
1084,0.10171157111884113
1088,0.10201182303043647
1092,0.10180350759754192
1096,0.10113232971505373
1100,0.10007039618732125
1104,0.09876693952244132
1108,0.09751643717528852
1112,0.09679906418084391
1116,0.09666384059283523
1120,0.09650812761774574
1124,0.0955944656034169
1128,0.09426533102798394
1132,0.09297655722517761
1136,0.09189355302491953
1140,0.09104198251812219
1144,0.0904035094204577
1148,0.08993708407057656
1152,0.0896045378749777
1156,0.08938687216057137
1160,0.08932375161225134
1164,0.08949250904178888
1168,0.0899966156990836
1172,0.09088867306942439
1176,0.09222556398402046
1180,0.09407138602578302
1184,0.09648674726059231
1188,0.09953926295841922
1192,0.1028038819228808
1196,0.10569508911088077
1200,0.1074042722158009
1204,0.10783836125957415
1208,0.107653152150198
1212,0.10688428419871751
1216,0.10541365095143124
1220,0.10308839364875003
1224,0.0998801469049064
1228,0.09580834535304915
1232,0.09094867046665164
1236,0.08542631889876841
1240,0.07940691592041295
1244,0.07310645529301303
1248,0.06682565278428734
1252,0.06087001765161908
1256,0.055540156871713466
1260,0.05106228573547072
1264,0.04755463718764254
1268,0.04497607535455493
1272,0.04298265128573104
1276,0.041396522117789845
1280,0.04010572609985531
1284,0.03905513541186099
1288,0.03823598829661981
1292,0.037656931776371264
1296,0.0373035142358127
1300,0.037026137999957076
1304,0.03682368415180157
1308,0.03663717893886698
1312,0.03645256226569743
1316,0.03627198666616165
1320,0.03609514800738944
1324,0.035936620337887415
1328,0.03579888989031563
1332,0.035696955864880045
1336,0.0356126573903143
1340,0.03552833229974468
1344,0.03544194129816382
1348,0.03535915578790949
1352,0.03526765099590649
1356,0.03513610591952891
1360,0.034971233590401156
1364,0.03477608746198002
1368,0.03457579501105082
1372,0.034404814654345896
1376,0.03426048369515197
1380,0.03413016839748134
1384,0.03404089051852315
1388,0.034000830639722424
1392,0.03402136556498965
1396,0.03410202583208942
1400,0.034244055815576595
1404,0.034436121399205835
1408,0.03466753646463361
1412,0.03494804093380401
1416,0.03526452806545422
1420,0.03563710859004769
1424,0.03606618868790515
1428,0.03653480576566656
1432,0.036999090371729056
1436,0.037484819757160004
1440,0.038003694311778934
1444,0.038543865066994205
1448,0.03911319338265265
1452,0.03972255464903642
1456,0.04033401178391656
1460,0.040917454326711684
1464,0.04151344531939178
1468,0.0421176108320965
1472,0.042764920225420035
1476,0.04340182099125285
1480,0.04401833991466195
1484,0.044617643005861615
1488,0.0451861168670351
1492,0.045682183094203715
1496,0.04608981684188385
1500,0.04645032781658882
1504,0.04685230125720995
1508,0.04734301825829974
1512,0.04791659973424546
1516,0.04863525977955835
1520,0.04952650043116666
1524,0.050559536672964284
1528,0.05165299044690504
1532,0.052780053051883456
1536,0.053853727321524186
1540,0.05489637833038539
1544,0.055799456557283744
1548,0.05650286988199975
1552,0.05695024884201449
1556,0.05704339960656408
1560,0.05677033419683429
1564,0.056114076656523314
1568,0.05507153750502328
1572,0.053634845545809016
1576,0.05187983758703651
1580,0.04993715256102256
1584,0.0479254629767187
1588,0.04589632028032513
1592,0.043896937468725486
1596,0.0420183607812313
1600,0.04037838025742665
1604,0.03895530916378907
1608,0.03773775474840176
1612,0.03679476846309353
1616,0.036125925755525395
1620,0.03575241788950682
1624,0.035557195906808246
1628,0.035592800710372755
1632,0.035842334524181854
1636,0.036295569748153095
1640,0.03690895700084977
1644,0.03760333544859082
1648,0.03833871895150355
1652,0.039101612801610355
1656,0.0398666520458915
1660,0.0406752265622425
1664,0.041623410030379185
1668,0.04275208803847277
1672,0.04409808093006906
1676,0.04558002883592406
1680,0.04736850825812747
1684,0.04946763363328109
1688,0.05184769923190084
1692,0.05449762134305238
1696,0.057388631503739164
1700,0.060539320008130997
1704,0.06384361310931745
1708,0.06731329726389733
1712,0.07091965575764114
1716,0.07463181208224821
1720,0.0783578792321723
1724,0.08203736496588634
1728,0.08562804541643441
1732,0.08904964129488097
1736,0.09217609665757527
1740,0.09491214443563108
1744,0.09723908078201464
1748,0.09908354388066354
1752,0.10042160583103094
1756,0.10116872017848137
1760,0.10143645736667053
1764,0.10118914482162958
1768,0.10053695563652922
1772,0.09967176579611726
1776,0.09880055704473945
1780,0.09809159855801282
1784,0.09755520933047955
1788,0.09747479030841255
1792,0.09799034905097923
1796,0.0992272433147537
1800,0.10121312426599861
1804,0.10393393322475142
1808,0.10728789056042386
1812,0.11107162733025912
1816,0.11489465115258725
1820,0.11838086389111371
1824,0.12127268820269733
1828,0.12334602458886833
1832,0.12446528560592458
1836,0.12454431715664964
1840,0.12368332350820097
1844,0.1220648148481528
1848,0.1199110986873416
1852,0.11738971426556642
1856,0.11467454032717905
1860,0.11193311208724636
1864,0.10928258462617421
1868,0.1071461159204016
1872,0.10574088680652419
1876,0.1053433181228615
1880,0.10614444745503948
1884,0.10826284236707406
